"date","ethPayments","wethPayments","otherPayments","ethPct","wethPct"
"\"2025-10-10\",14,16,7,47,53"
"\"2025-10-11\",8,10,5,44,56"
"\"2025-10-12\",24,8,23,75,25"
"\"2025-10-13\",17,4,11,81,19"
"\"2025-10-14\",10,4,1,71,29"
"\"2025-10-15\",3,5,2,38,63"
"\"2025-10-16\",13,2,3,87,13"
"\"2025-10-17\",3,3,3,50,50"
"\"2025-10-18\",4,3,3,57,43"
"\"2025-10-19\",6,4,0,60,40"
"\"2025-10-20\",0,1,3,0,100"
"\"2025-10-21\",11,11,6,50,50"
"\"2025-10-22\",3,7,1,30,70"
"\"2025-10-23\",7,4,3,64,36"
"\"2025-10-24\",4,8,4,33,67"
"\"2025-10-25\",22,7,16,76,24"
"\"2025-10-26\",11,14,4,44,56"
"\"2025-10-27\",10,14,12,42,58"
"\"2025-10-28\",30,12,16,71,29"
"\"2025-10-29\",13,8,7,62,38"
"\"2025-10-30\",10,8,5,56,44"
"\"2025-10-31\",6,2,3,75,25"
"\"2025-11-01\",4,5,0,44,56"
"\"2025-11-02\",6,7,1,46,54"
"\"2025-11-03\",7,5,2,58,42"
"\"2025-11-04\",20,21,12,49,51"
"\"2025-11-05\",13,6,6,68,32"
"\"2025-11-06\",4,5,2,44,56"
"\"2025-11-07\",17,10,6,63,37"
"\"2025-11-08\",8,3,4,73,27"
"\"2025-11-09\",2,3,2,40,60"
"\"2025-11-10\",6,0,8,100,0"
"\"2025-11-11\",15,12,9,56,44"
"\"2025-11-12\",20,8,9,71,29"
"\"2025-11-13\",18,16,34,53,47"
"\"2025-11-14\",26,13,23,67,33"
"\"2025-11-15\",47,18,18,72,28"
"\"2025-11-16\",29,12,20,71,29"
"\"2025-11-17\",16,29,14,36,64"
"\"2025-11-18\",24,21,15,53,47"
"\"2025-11-19\",61,27,17,69,31"
"\"2025-11-20\",39,26,13,60,40"
"\"2025-11-21\",61,40,36,60,40"
"\"2025-11-22\",51,27,27,65,35"
"\"2025-11-23\",59,40,27,60,40"
"\"2025-11-24\",88,26,19,77,23"
"\"2025-11-25\",42,45,13,48,52"
"\"2025-11-26\",44,27,7,62,38"
"\"2025-11-27\",62,26,27,70,30"
"\"2025-11-28\",28,17,11,62,38"
"\"2025-11-29\",31,28,28,53,47"
"\"2025-11-30\",29,29,18,50,50"
"\"2025-12-01\",49,63,33,44,56"
"\"2025-12-02\",58,40,16,59,41"
"\"2025-12-03\",59,40,47,60,40"
"\"2025-12-04\",35,29,20,55,45"
"\"2025-12-05\",33,36,61,48,52"
"\"2025-12-06\",29,36,37,45,55"
"\"2025-12-07\",42,36,17,54,46"
"\"2025-12-08\",69,43,15,62,38"
"\"2025-12-09\",62,49,25,56,44"
"\"2025-12-10\",34,43,36,44,56"
"\"2025-12-11\",94,105,83,47,53"
"\"2025-12-12\",74,72,70,51,49"
"\"2025-12-13\",177,72,75,71,29"
"\"2025-12-14\",64,40,27,62,38"
"\"2025-12-15\",209,66,76,76,24"
"\"2025-12-16\",74,47,30,61,39"
"\"2025-12-17\",80,106,32,43,57"
"\"2025-12-18\",92,60,43,61,39"
"\"2025-12-19\",77,68,40,53,47"
"\"2025-12-20\",77,41,17,65,35"
"\"2025-12-21\",38,27,10,58,42"
"\"2025-12-22\",40,35,22,53,47"
"\"2025-12-23\",36,58,46,38,62"
"\"2025-12-24\",61,66,33,48,52"
"\"2025-12-25\",99,46,41,68,32"
"\"2025-12-26\",80,115,49,41,59"
"\"2025-12-27\",120,78,39,61,39"
"\"2025-12-28\",110,59,31,65,35"
"\"2025-12-29\",159,77,35,67,33"
"\"2025-12-30\",126,97,37,57,43"
"\"2025-12-31\",158,137,67,54,46"
"\"2026-01-01\",232,128,64,64,36"
"\"2026-01-02\",295,84,107,78,22"
"\"2026-01-03\",96,68,26,59,41"
"\"2026-01-04\",242,55,85,81,19"
"\"2026-01-05\",306,78,89,80,20"
"\"2026-01-06\",113,96,41,54,46"
"\"2026-01-07\",73,90,24,45,55"
